retailer,brand,vendor_raw,title,sku,form,motion,power,material,price,list_price,discount_pct,url
slumberland,Ashley,Ashley Furniture,Cambeck Panel Storage Bed,QK1085573,Other,Stationary,,Unspecified,429.99,1089.99,60.6,https://www.slumberland.com/products/cambeck-panel-storage-bed
slumberland,Flexsteel,Flexsteel,Bryant Sofa,QK1103801,Sofa,Stationary,,Unspecified,2799.99,4199.98,33.3,https://www.slumberland.com/products/bryant-sofa
slumberland,Flexsteel,Flexsteel,Bryant Ottoman,QK1103804,Ottoman,Stationary,,Unspecified,699.99,899.99,22.2,https://www.slumberland.com/products/bryant-ottoman
slumberland,Flexsteel,Flexsteel,Bryant Loveseat,QK1103802,Loveseat,Stationary,,Unspecified,2779.99,4169.98,33.3,https://www.slumberland.com/products/bryant-loveseat
slumberland,Flexsteel,Flexsteel,Bryant Chair,QK1103803,Chair,Stationary,,Unspecified,1799.99,2699.99,33.3,https://www.slumberland.com/products/bryant-chair
slumberland,Flexsteel,Flexsteel,Bryant Leather Sofa,QK1103822,Sofa,Stationary,,Leather,4499.99,6749.98,33.3,https://www.slumberland.com/products/bryant-leather-sofa
slumberland,Flexsteel,Flexsteel,Bryant Leather Ottoman,QK1103825,Ottoman,Stationary,,Leather,1399.99,2099.99,33.3,https://www.slumberland.com/products/bryant-leather-ottoman
slumberland,Flexsteel,Flexsteel,Bryant Leather Loveseat,QK1103823,Loveseat,Stationary,,Leather,4479.99,6719.98,33.3,https://www.slumberland.com/products/bryant-leather-loveseat
slumberland,Flexsteel,Flexsteel,Bryant Leather Chair,QK1103824,Chair,Stationary,,Leather,3399.99,5099.98,33.3,https://www.slumberland.com/products/bryant-leather-chair
slumberland,Flexsteel,Flexsteel,Bryant Leather 2 Piece Left Sofa Sectional,QK1103842,Sectional,Stationary,,Leather,8999.99,13499.99,33.3,https://www.slumberland.com/products/bryant-leather-2-piece-left-sofa-sectional
slumberland,Ashley,Ashley Furniture,Valebeck Swivel Counter Stool,QK1055153,Chair,Stationary,,Leather,199.99,329.99,39.4,https://www.slumberland.com/products/valebeck-counter-stool
slumberland,Ashley,Ashley Furniture,Valebeck Swivel Bar Stool,QK1055152,Chair,Stationary,,Leather,199.99,329.99,39.4,https://www.slumberland.com/products/valebeck-bar-stool
slumberland,Ashley,Ashley Furniture,Gesthaven Counter Stool,QK1099400,Other,Stationary,,Unspecified,99.99,199.99,50.0,https://www.slumberland.com/products/gesthaven-counter-stool
slumberland,Ashley,Ashley Furniture,Gesthaven Round Drop Leaf Table,QK1099402,Other,Stationary,,Unspecified,199.99,399.99,50.0,https://www.slumberland.com/products/gesthaven-round-drop-leaf-table
slumberland,Ashley,Ashley Furniture,Gesthaven 5 Piece Rectangular Counter Dining Set,QK1099406,Other,Stationary,,Unspecified,739.99,1199.99,38.3,https://www.slumberland.com/products/gesthaven-5-piece-rectangular-counter-dining-set
slumberland,Ashley,Ashley Furniture,Gesthaven 6 Piece Rectangular Dining Set,QK1099380,Other,Stationary,,Unspecified,488.99,899.99,45.7,https://www.slumberland.com/products/gesthaven-6-piece-rectangular-dining-set
slumberland,Ashley,Ashley Furniture,Gesthaven Rectangle Counter Table,QK1099377,Other,Stationary,,Unspecified,349.99,599.99,41.7,https://www.slumberland.com/products/gesthaven-rectangle-counter-table
slumberland,Ashley,Ashley Furniture,Gesthaven Chair,QK1099383,Chair,Stationary,,Unspecified,99.99,179.99,44.4,https://www.slumberland.com/products/gesthaven-chair
slumberland,Ashley,Ashley Furniture,Gesthaven 5 Piece Square Counter Dining Set,QK1099379,Other,Stationary,,Unspecified,539.99,799.99,32.5,https://www.slumberland.com/products/gesthaven-5-piece-square-counter-dining-set
slumberland,Ashley,Ashley Furniture,Gesthaven 3 Piece Round Drop Leaf Dining Set,QK1099381,Other,Stationary,,Unspecified,389.99,699.99,44.3,https://www.slumberland.com/products/gesthaven-3-piece-round-drop-leaf-dining-set
slumberland,La-Z-Boy,La-Z-Boy,Greyson Leather Tri-Power Rocker Recliner,QK1108338,Recliner,Motion,Power,Leather,1999.99,3699.0,45.9,https://www.slumberland.com/products/greyson-leather-tri-power-rocker-recliner
slumberland,Ashley,Ashley Furniture,Pearce-Pike 3 Piece Double Console Reclining Sectional,QK1106244,Sectional,Motion,,Leather,1999.99,2999.99,33.3,https://www.slumberland.com/products/pearce-pike-3-piece-double-console-reclining-sectional
slumberland,Ashley,Ashley Furniture,Pearce-Pike 3 Piece Left Console Reclining Sectional,QK1106242,Sectional,Motion,,Leather,1799.99,2699.99,33.3,https://www.slumberland.com/products/pearce-pike-3-piece-left-console-reclining-sectional
slumberland,Ashley,Ashley Furniture,Pearce-Pike 3 Piece Right Console Reclining Sectional,QK1106243,Sectional,Motion,,Leather,1799.99,2699.99,33.3,https://www.slumberland.com/products/pearce-pike-3-piece-right-console-reclining-sectional
slumberland,Ashley,Ashley Furniture,Pearce-Pike 3 Piece Reclining Sectional,QK1106236,Sectional,Motion,,Leather,1699.99,2399.99,29.2,https://www.slumberland.com/products/pearce-pike-3-piece-reclining-sectional
slumberland,Flexsteel,Flexsteel,Everest Power Reclining Console Loveseat,QK1106084,Loveseat,Motion,Power,Unspecified,3999.99,5999.98,33.3,https://www.slumberland.com/products/everest-power-reclining-console-loveseat
slumberland,Flexsteel,Flexsteel,Everest Power Reclining Sofa,QK1106083,Sofa,Motion,Power,Unspecified,3999.99,5999.98,33.3,https://www.slumberland.com/products/everest-power-reclining-sofa
slumberland,Flexsteel,Flexsteel,Everest Power Swivel Glider Recliner,QK1106088,Recliner,Motion,Power,Leather,2999.99,4499.98,33.3,https://www.slumberland.com/products/everest-power-swivel-glider-recliner
slumberland,Flexsteel,Flexsteel,Murph Leather Swivel Glider,QK1106561,Chair,Motion,,Leather,2499.99,4999.99,50.0,https://www.slumberland.com/products/murph-leather-swivel-glider
slumberland,Flexsteel,Flexsteel,Kingman Swivel Glider,QK1106560,Chair,Motion,,Unspecified,1149.99,2299.99,50.0,https://www.slumberland.com/products/kingman-swivel-glider
slumberland,Ashley,Ashley Furniture,Danry Table Lamp,QK1103592,Other,Stationary,,Unspecified,119.99,319.99,62.5,https://www.slumberland.com/products/danry-table-lamp
slumberland,Ashley,Ashley Furniture,Dawthorne Table Lamp,QK1106215,Other,Stationary,,Unspecified,69.99,149.99,53.3,https://www.slumberland.com/products/dawthorne-table-lamp
slumberland,La-Z-Boy,La-Z-Boy,Dutton Leather Rocker Recliner,QK1108334,Recliner,Motion,,Leather,1199.99,1899.0,36.8,https://www.slumberland.com/products/dutton-leather-rocker-recliner
slumberland,Ashley,Ashley Furniture,Rosswain Lift Top Coffee Table,QK1107485,Other,Stationary,,Unspecified,399.99,599.99,33.3,https://www.slumberland.com/products/rosswain-lift-top-coffee-table
slumberland,Ashley,Ashley Furniture,Rosswain Square End Table,QK1107486,Other,Stationary,,Unspecified,229.99,349.99,34.3,https://www.slumberland.com/products/rosswain-square-end-table
slumberland,Ashley,Ashley Furniture,Juararo 4 Piece Poster Room Group,QK1106592,Other,Stationary,,Unspecified,1459.99,2699.99,45.9,https://www.slumberland.com/products/juararo-4-piece-poster-room-group
slumberland,Ashley,Ashley Furniture,Broachmyn Chest,QK1106407,Other,Stationary,,Unspecified,289.99,379.99,23.7,https://www.slumberland.com/products/broachmyn-chest
slumberland,Ashley,Ashley Furniture,Broachmyn Dresser,QK1106405,Other,Stationary,,Unspecified,399.99,399.99,,https://www.slumberland.com/products/broachmyn-dresser
slumberland,Ashley,Ashley Furniture,Broachmyn Mirror,QK1106406,Other,Stationary,,Unspecified,79.99,99.99,20.0,https://www.slumberland.com/products/broachmyn-mirror
slumberland,Ashley,Ashley Furniture,Broachmyn Nightstand,QK1106410,Other,Stationary,,Unspecified,149.99,179.99,16.7,https://www.slumberland.com/products/broachmyn-nightstand
slumberland,Ashley,Ashley Furniture,Broachmyn Panel Bed,QK1106413,Other,Stationary,,Unspecified,299.99,399.99,25.0,https://www.slumberland.com/products/broachmyn-panel-bed
slumberland,Ashley,Ashley Furniture,Dellner Table Lamp,QK1106214,Other,Stationary,,Unspecified,79.99,169.99,52.9,https://www.slumberland.com/products/dellner-table-lamp
slumberland,Ashley,Ashley Furniture,Dreward Table Lamp,QK1103587,Other,Stationary,,Unspecified,124.99,259.99,51.9,https://www.slumberland.com/products/dreward-table-lamp
slumberland,Ashley,Ashley Furniture,Bartner Accent Mirror,QK1089689,Chair,Stationary,,Unspecified,129.99,299.99,56.7,https://www.slumberland.com/products/bartner-accent-mirror
slumberland,Ashley,Ashley Furniture,Shylore Set of 3 Tables,QK1107484,Other,Stationary,,Unspecified,339.99,499.99,32.0,https://www.slumberland.com/products/shylore-set-of-3-tables
slumberland,Ashley,Ashley Furniture,Haigwood Floor Lamp,QK1106225,Other,Stationary,,Unspecified,129.99,279.99,53.6,https://www.slumberland.com/products/haigwood-floor-lamp
slumberland,Ashley,Ashley Furniture,Haigwood Table Lamp,QK1106219,Other,Stationary,,Unspecified,59.99,129.99,53.9,https://www.slumberland.com/products/haigwood-table-lamp
slumberland,Ashley,Ashley Furniture,Edenfield 3 Piece Right Chaise Sectional and Ottoman,,Sectional,Stationary,,Unspecified,1449.98,,,https://www.slumberland.com/products/edenfield-3-piece-right-chaise-sectional-and-ottoman
slumberland,Ashley,Ashley Furniture,Carlibrie Rectangular End Table,QK1107483,Other,Stationary,,Unspecified,219.99,329.99,33.3,https://www.slumberland.com/products/carlibrie-rectangular-end-table
slumberland,Ashley,Ashley Furniture,Carlibrie Lift Top Coffee Table,QK1107482,Other,Stationary,,Unspecified,379.99,569.99,33.3,https://www.slumberland.com/products/carlibrie-lift-top-coffee-table
slumberland,Ashley,Ashley Furniture,Kandinew Rectangular Coffee Table,QK1107479,Other,Stationary,,Unspecified,299.99,599.99,50.0,https://www.slumberland.com/products/kandinew-rectangular-coffee-table
slumberland,Ashley,Ashley Furniture,Kandinew Square End Table,QK1107478,Other,Stationary,,Unspecified,219.99,399.99,45.0,https://www.slumberland.com/products/kandinew-square-end-table
slumberland,La-Z-Boy,La-Z-Boy,James Reclining Loveseat With Console,QK1081523,Loveseat,Motion,,Unspecified,1699.99,2549.99,33.3,https://www.slumberland.com/products/james-rec-loveseat-with-console
slumberland,Ashley,Ashley Furniture,Modmax 5 Piece Dual Chaise Sectional with Audio Consoles,QK1107403,Sectional,Stationary,,Fabric,2899.99,3899.99,25.6,https://www.slumberland.com/products/modmax-5-piece-dual-chaise-sectional-with-audio-consoles
slumberland,Ashley,Ashley Furniture,Modmax Left Chair,QK1107331,Chair,Stationary,,Fabric,449.99,599.99,25.0,https://www.slumberland.com/products/modmax-left-chair
slumberland,Ashley,Ashley Furniture,Modmax Storage Console,QK1107374,Other,Stationary,,Fabric,469.99,649.99,27.7,https://www.slumberland.com/products/modmax-storage-console
slumberland,Ashley,Ashley Furniture,Modmax Right Chair,QK1107354,Chair,Stationary,,Fabric,449.99,599.99,25.0,https://www.slumberland.com/products/modmax-right-chair
slumberland,Ashley,Ashley Furniture,Modmax Corner Wedge,QK1107398,Other,Stationary,,Fabric,499.99,629.99,20.6,https://www.slumberland.com/products/modmax-corner-wedge
slumberland,Ashley,Ashley Furniture,Modmax 8 Piece Left Chaise Sectional,QK1107334,Sectional,Stationary,,Fabric,3299.99,4799.99,31.3,https://www.slumberland.com/products/modmax-8-piece-left-chaise-sectional
slumberland,Ashley,Ashley Furniture,Modmax 2 Piece Loveseat,QK1107335,Loveseat,Stationary,,Fabric,789.99,1179.99,33.1,https://www.slumberland.com/products/modmax-2-piece-loveseat
slumberland,Ashley,Ashley Furniture,Modmax 3 Piece Sofa,QK1107336,Sofa,Stationary,,Fabric,1199.99,1499.99,20.0,https://www.slumberland.com/products/modmax-3-piece-sofa
slumberland,Ashley,Ashley Furniture,Modmax 3 Piece Audio Console Loveseat,QK1107402,Loveseat,Stationary,,Fabric,1299.99,1949.99,33.3,https://www.slumberland.com/products/modmax-3-piece-audio-console-loveseat
slumberland,Ashley,Ashley Furniture,Modmax 4 Piece Dual Chaise Sectional,QK1107339,Sectional,Stationary,,Fabric,2199.99,2999.99,26.7,https://www.slumberland.com/products/modmax-4-piece-dual-chaise-sectional
slumberland,Ashley,Ashley Furniture,Modmax 5 Piece Sectional,QK1107340,Sectional,Stationary,,Fabric,1399.99,2599.99,46.2,https://www.slumberland.com/products/modmax-5-piece-sectional
slumberland,Ashley,Ashley Furniture,Modmax 6 Piece Sectional with Audio Console,QK1107406,Sectional,Stationary,,Fabric,2399.99,3499.99,31.4,https://www.slumberland.com/products/modmax-6-piece-sectional-with-audio-console
slumberland,Ashley,Ashley Furniture,Modmax 6 Piece Left Chaise Sectional,QK1107407,Sectional,Stationary,,Fabric,2699.99,3599.99,25.0,https://www.slumberland.com/products/modmax-6-piece-left-chaise-sectional
slumberland,Ashley,Ashley Furniture,Modmax 3 Piece Left Chaise Sofa,QK1107408,Sofa,Stationary,,Fabric,1399.99,1949.99,28.2,https://www.slumberland.com/products/modmax-3-piece-left-chaise-sofa
slumberland,Ashley,Ashley Furniture,Modmax Ottoman,QK1107389,Ottoman,Stationary,,Fabric,279.99,429.99,34.9,https://www.slumberland.com/products/modmax-ottoman
slumberland,Ashley,Ashley Furniture,Modmax Left Chaise,QK1107411,Other,Stationary,,Fabric,689.99,979.99,29.6,https://www.slumberland.com/products/modmax-left-chaise
slumberland,Ashley,Ashley Furniture,Modmax Right Chaise,QK1107412,Other,Stationary,,Fabric,689.99,979.99,29.6,https://www.slumberland.com/products/modmax-right-chaise
slumberland,Ashley,Ashley Furniture,Modmax Left Storage Chaise,QK1107348,Other,Stationary,,Fabric,699.99,999.99,30.0,https://www.slumberland.com/products/modmax-left-storage-chaise
slumberland,Ashley,Ashley Furniture,Modmax Right Storage Chaise,QK1107349,Other,Stationary,,Fabric,699.99,999.99,30.0,https://www.slumberland.com/products/modmax-right-storage-chaise
slumberland,Ashley,Ashley Furniture,Modmax Audio Console,QK1107350,Other,Stationary,,Fabric,579.99,799.99,27.5,https://www.slumberland.com/products/modmax-audio-console
slumberland,Ashley,Ashley Furniture,Modmax Armless Chair,QK1107416,Chair,Stationary,,Fabric,429.99,499.99,14.0,https://www.slumberland.com/products/modmax-armless-chair
slumberland,La-Z-Boy,La-Z-Boy,Redwood Tri-Power Rocker Recliner,QK1096563,Recliner,Motion,Power,Unspecified,1769.99,3199.0,44.7,https://www.slumberland.com/products/redwood-tri-power-rocker-recliner
slumberland,Ashley,Ashley Furniture,Whitlock Loveseat,QK1107427,Loveseat,Stationary,,Leather,489.99,729.99,32.9,https://www.slumberland.com/products/whitlock-loveseat
slumberland,Ashley,Ashley Furniture,Whitlock Rocker Recliner,QK1107426,Recliner,Motion,,Leather,479.99,719.99,33.3,https://www.slumberland.com/products/whitlock-rocker-recliner
slumberland,Ashley,Ashley Furniture,Whitlock Sofa,QK1107428,Sofa,Stationary,,Leather,499.99,749.99,33.3,https://www.slumberland.com/products/whitlock-sofa
slumberland,Ashley,Ashley Furniture,Loreo Sofa,QK1107309,Sofa,Stationary,,Fabric,449.99,899.99,50.0,https://www.slumberland.com/products/loreo-sofa
slumberland,Ashley,Ashley Furniture,Loreo Ottoman,QK1107306,Ottoman,Stationary,,Fabric,329.99,494.99,33.3,https://www.slumberland.com/products/loreo-ottoman
slumberland,Ashley,Ashley Furniture,Loreo Loveseat,QK1107318,Loveseat,Stationary,,Fabric,439.99,869.99,49.4,https://www.slumberland.com/products/loreo-loveseat
slumberland,Ashley,Ashley Furniture,Loreo Chair,QK1107307,Chair,Stationary,,Fabric,389.99,584.99,33.3,https://www.slumberland.com/products/loreo-chair
slumberland,Ashley,Ashley Furniture,Loreo Sleeper,QK1107315,Sleeper,Stationary,,Fabric,899.99,1349.98,33.3,https://www.slumberland.com/products/loreo-sleeper
slumberland,La-Z-Boy,La-Z-Boy,Redwood Rocker Recliner,QK1082413,Recliner,Motion,,Unspecified,1169.99,1599.99,26.9,https://www.slumberland.com/products/redwood-rocker-recliner
slumberland,Best Home Furnishings,Best Home Furnishings,Novae Wing Chair,QK1104708,Chair,Stationary,,Unspecified,599.99,899.99,33.3,https://www.slumberland.com/products/novae-wing-chair
slumberland,Ashley,Ashley Furniture,Valo Arc Lamp,QK1106224,Other,Stationary,,Unspecified,249.99,549.99,54.5,https://www.slumberland.com/products/valo-arc-lamp
slumberland,Best Home Furnishings,Best Home Furnishings,Aubrey Swivel Chair,QK1103775,Chair,Stationary,,Fabric,769.99,1499.99,48.7,https://www.slumberland.com/products/aubrey-swivel-chair
slumberland,La-Z-Boy,La-Z-Boy,Liam Wall Recliner,QK1097958,Recliner,Motion,,Unspecified,679.99,1199.0,43.3,https://www.slumberland.com/products/liam-wall-recliner
slumberland,Ashley,Ashley Furniture,Erinslane Loveseat,QK1094606,Loveseat,Stationary,,Unspecified,429.99,879.99,51.1,https://www.slumberland.com/products/erinslane-loveseat
slumberland,Ashley,Ashley Furniture,Erinslane Sofa,QK1094607,Sofa,Stationary,,Unspecified,449.99,899.99,50.0,https://www.slumberland.com/products/erinslane-sofa
slumberland,Ashley,Ashley Furniture,Yafe Floor Lamp,QK1106223,Other,Stationary,,Unspecified,149.99,329.99,54.5,https://www.slumberland.com/products/yafe-floor-lamp
slumberland,La-Z-Boy,La-Z-Boy,Norton Rocker Recliner,QK1106081,Recliner,Motion,,Unspecified,599.99,1199.99,50.0,https://www.slumberland.com/products/norton-rocker-recliner
slumberland,La-Z-Boy,La-Z-Boy,Hawthorn Rocker Recliner,QK1106089,Recliner,Motion,,Unspecified,499.99,999.99,50.0,https://www.slumberland.com/products/hawthorn-rocker-recliner-1
slumberland,Ashley,Ashley Furniture,Santiford Floor Lamp,QK1106226,Other,Stationary,,Unspecified,129.99,279.99,53.6,https://www.slumberland.com/products/santiford-floor-lamp
slumberland,Ashley,Ashley Furniture,Jorlaina End Table,QK1087964,Other,Stationary,,Unspecified,239.99,265.99,9.8,https://www.slumberland.com/products/jorlaina-end-table
slumberland,Ashley,Ashley Furniture,Jorlaina Coffee Table,QK1087963,Other,Stationary,,Unspecified,419.99,489.99,14.3,https://www.slumberland.com/products/jorlaina-coffee-table
slumberland,Ashley,Ashley Furniture,Santorine Loveseat,QK1094598,Loveseat,Stationary,,Leather,779.99,1079.99,27.8,https://www.slumberland.com/products/santorine-loveseat
slumberland,Ashley,Ashley Furniture,Foreside Sofa and Recliner,,Sofa,Motion,,Unspecified,1299.98,,,https://www.slumberland.com/products/foreside-sofa-and-recliner
slumberland,Ashley,Ashley Furniture,Foreside Rocker Recliner,QK1104796,Recliner,Motion,,Unspecified,499.99,899.99,44.4,https://www.slumberland.com/products/foreside-rocker-recliner
slumberland,Ashley,Ashley Furniture,Foreside Reclining Sofa,QK1104797,Sofa,Motion,,Unspecified,799.99,1349.98,40.7,https://www.slumberland.com/products/foreside-reclining-sofa
slumberland,Ashley,Ashley Furniture,Foreside Reclining Console Loveseat,QK1104798,Loveseat,Motion,,Unspecified,799.99,1349.98,40.7,https://www.slumberland.com/products/foreside-reclining-console-loveseat
slumberland,Ashley,Ashley Furniture,Birkdale Court Oversized Ottoman,QK1104803,Ottoman,Stationary,,Unspecified,399.99,599.99,33.3,https://www.slumberland.com/products/birkdale-court-oversized-ottoman
slumberland,Ashley,Ashley Furniture,Birkdale Court 3 Piece Right Chaise Sectional,QK1104807,Sectional,Stationary,,Unspecified,1499.99,2249.99,33.3,https://www.slumberland.com/products/birkdale-court-3-piece-right-chaise-sectional
slumberland,Ashley,Ashley Furniture,Darlita Set of 2 Table Lamps,QK1106222,Other,Stationary,,Unspecified,119.99,249.99,52.0,https://www.slumberland.com/products/darlita-set-of-2-table-lamps
slumberland,Ashley,Ashley Furniture,Wimlow Table Lamp,QK1106216,Other,Stationary,,Unspecified,69.99,149.99,53.3,https://www.slumberland.com/products/wimlow-table-lamp
slumberland,La-Z-Boy,La-Z-Boy,Pinnacle Tri-Power Recliner,QK1101745,Recliner,Motion,Power,Unspecified,1499.99,2499.99,40.0,https://www.slumberland.com/products/pinnacle-tri-power-recliner
slumberland,Ashley,Ashley Furniture,Seyler Lane Rocker Recliner,QK1106122,Recliner,Motion,,Unspecified,399.99,599.99,33.3,https://www.slumberland.com/products/seyler-lane-rocker-recliner
slumberland,Ashley,Ashley Furniture,Seyler Lane Ottoman,QK1106121,Ottoman,Stationary,,Unspecified,349.99,524.99,33.3,https://www.slumberland.com/products/seyler-lane-ottoman
slumberland,Ashley,Ashley Furniture,Seyler Lane 3 Piece Right Chaise Sleeper Sectional,QK1106116,Sectional,Stationary,,Unspecified,1699.99,2549.99,33.3,https://www.slumberland.com/products/seyler-lane-3-piece-right-chaise-sleeper-sectional
slumberland,Ashley,Ashley Furniture,Seyler Lane 3 Piece Left Chaise Sleeper Sectional,QK1106123,Sectional,Stationary,,Unspecified,1699.99,2549.99,33.3,https://www.slumberland.com/products/seyler-lane-3-piece-left-chaise-sleeper-sectional
slumberland,Ashley,Ashley Furniture,Ferrilby Table Lamp,QK1106228,Other,Stationary,,Unspecified,129.99,279.99,53.6,https://www.slumberland.com/products/ferrilby-table-lamp
slumberland,Ashley,Ashley Furniture,Afener Set of 2 Table Lamps,QK1106221,Other,Stationary,,Unspecified,129.99,279.99,53.6,https://www.slumberland.com/products/afener-set-of-2-table-lamps
slumberland,Ashley,Ashley Furniture,Calbert Table Lamp,QK1106217,Other,Stationary,,Unspecified,119.99,249.99,52.0,https://www.slumberland.com/products/calbert-table-lamp
slumberland,Ashley,Ashley Furniture,Triston-Peaks Chair and a Half,QK1104065,Chair,Stationary,,Unspecified,399.99,599.99,33.3,https://www.slumberland.com/products/triston-peaks-chair-and-a-half
slumberland,Ashley,Ashley Furniture,Triston-Peaks Loveseat,QK1104066,Loveseat,Stationary,,Unspecified,429.99,779.99,44.9,https://www.slumberland.com/products/triston-peaks-loveseat
slumberland,Ashley,Ashley Furniture,Triston-Peaks Ottoman,QK1104064,Ottoman,Stationary,,Unspecified,229.99,349.99,34.3,https://www.slumberland.com/products/triston-peaks-ottoman
slumberland,Flexsteel,Flexsteel,Finley Chair,QK1103794,Chair,Stationary,,Unspecified,1599.99,1799.98,11.1,https://www.slumberland.com/products/finley-chair
slumberland,Flexsteel,Flexsteel,Finley Ottoman,QK1103795,Ottoman,Stationary,,Unspecified,699.99,749.99,6.7,https://www.slumberland.com/products/finley-ottoman
slumberland,Flexsteel,Flexsteel,Finley Loveseat,QK1103793,Loveseat,Stationary,,Unspecified,2179.99,2679.99,18.7,https://www.slumberland.com/products/finley-loveseat
slumberland,Flexsteel,Flexsteel,Finley Sofa,QK1103792,Sofa,Stationary,,Unspecified,2199.99,2699.99,18.5,https://www.slumberland.com/products/finley-sofa
slumberland,Flexsteel,Flexsteel,Finley Leather Ottoman,QK1103791,Ottoman,Stationary,,Leather,999.99,1129.99,11.5,https://www.slumberland.com/products/finley-leather-ottoman
slumberland,Flexsteel,Flexsteel,Finley Leather Chair,QK1103790,Chair,Stationary,,Leather,2599.99,3599.99,27.8,https://www.slumberland.com/products/finley-leather-chair
slumberland,Flexsteel,Flexsteel,Finley Leather Loveseat,QK1103789,Loveseat,Stationary,,Leather,3579.99,4469.98,19.9,https://www.slumberland.com/products/finley-leather-loveseat
slumberland,Flexsteel,Flexsteel,Finley Leather Sofa,QK1103788,Sofa,Stationary,,Leather,3599.99,4499.98,20.0,https://www.slumberland.com/products/finley-leather-sofa
slumberland,Flexsteel,Flexsteel,Finley 2 Piece Left Sofa Sectional,QK1103787,Sectional,Stationary,,Unspecified,4599.99,6899.98,33.3,https://www.slumberland.com/products/finley-2-piece-left-sofa-sectional
slumberland,Flexsteel,Flexsteel,Eleanora Chair,QK1103779,Chair,Stationary,,Unspecified,1799.99,2099.99,14.3,https://www.slumberland.com/products/eleanora-chair
slumberland,Flexsteel,Flexsteel,Eleanora Loveseat,QK1103778,Loveseat,Stationary,,Unspecified,2479.99,2979.99,16.8,https://www.slumberland.com/products/eleanora-loveseat
slumberland,Flexsteel,Flexsteel,Eleanora Ottoman,QK1103780,Ottoman,Stationary,,Unspecified,899.99,1049.99,14.3,https://www.slumberland.com/products/eleanora-ottoman
slumberland,Flexsteel,Flexsteel,Eleanora Sofa,QK1103777,Sofa,Stationary,,Unspecified,2499.99,2999.99,16.7,https://www.slumberland.com/products/eleanora-sofa
slumberland,Ashley,Ashley Furniture,Kerrbrook Table Lamp,QK1106218,Other,Stationary,,Unspecified,99.99,199.99,50.0,https://www.slumberland.com/products/kerrbrook-table-lamp
slumberland,Ashley,Ashley Furniture,Mette Table Lamp,QK1103589,Other,Stationary,,Unspecified,79.99,199.99,60.0,https://www.slumberland.com/products/mette-table-lamp
slumberland,La-Z-Boy,La-Z-Boy,Rheeves High Leg Reclining Chair,QK1102326,Chair,Motion,,Unspecified,1099.99,1799.0,38.9,https://www.slumberland.com/products/rheeves-high-leg-reclining-chair
slumberland,Ashley,Ashley Furniture,Hambell Table Lamp,QK1092498,Other,Stationary,,Unspecified,129.99,189.99,31.6,https://www.slumberland.com/products/hambell-table-lamp
